Company,PercentageBack,Latitude,Longitude,
Macy’s,0.06,37.78690641,-122.40665000,
Macy’s,0.06,37.67396012,-122.47090529,
Macy’s,0.06,37.92776483,-122.51355920,
Macy’s,0.06,37.70045284,-122.12485898,
Macy’s,0.06,38.00457992,-122.54292044,
Macy’s,0.06,37.53764369,-122.29969949,
Macy’s,0.06,37.65012503,-122.10427549,
Macy’s,0.06,37.65008736,-122.10425883,
Macy’s,0.06,37.89466514,-122.05741471,
Macy’s,0.06,37.96775698,-122.06134444,
Macy’s,0.06,37.60536190,-122.03958890,
Macy’s,0.06,37.69500524,-121.92966697,
